Name,DOB,Gender,Aadhar_No,Father_Name,Address1,Address2,Address3,Address4,Address5
Laxman Gill,30/12/2007,Male,4294 7699 3657,Gitika Ranganathan,"1304,Kathriguppe Main Road","Ashok Nagar,NR Colony","Basavanagudi,Bangalore",530235,
Leela Chakrabarti,2/7/2002,Male,4812 9725 6974,Drishti Chakrabarti,"1761,Near Swathi Nursing Home","14th Main Road,1st Stage","Kumaraswamy Layout,Bangalore",530236,
Amita Mangal,8/6/2019,Male,2039 9920 7844,Madhur Gera,"374/B,2nd Phase","BSK 3rd Stage,Srinivasa Nagar","Banashankari,Bangalore",530237,
Kshitij Raj,10/8/1995,Female,2210 583 7929,Hamsa Basak,"582,2nd Main","6th Block 2nd Phase Banshankari 3rd Stage Bangalore-560085,530238",,,
Lila Swamy,2/1/1994,Female,2985 1219 2709,Adita Borah,"3-94/1,80 Feet Road","Near New Big Bazaar,Kathriguppe","Banashankari,Bangalore",530239,
Nala Bedi,17/01/1974,Male,9586 9642 94,Ajay Ganguly,"9/1,Behind BMS College Hostel","Hanumantha Nagar,Banashankari","Bangalore,530240",,
Mala Bail,25/06/2007,Female,6525 4959 8218,Nitin Mangal,"24,Next to Roti Ghar","Gandhi Bazaar Main Road,Basavanagudi","Bangalore,530241",,
Carpanin Biswas,18/12/2008,Male,5848 8308 1566,Dipa Shah,"Rashtriya Vidyalaya Road,Basavanagudi","Bangalore,530242",,,
Malati Bhatnagar,26/03/1977,Male,3006 1836 3816  ,Nala Pandit,"855/A,5th A Cross","10th Main Road,Srinivasanagar","Towords Maruthi Circle,Banashankari","Bangalore,530243",
Madhukar Tak,19/12/2010,Male,3167 0448 8399  ,Appassamy Aurora,"34,22nd Main","22nd Cross,Opposite BDA","2nd Stage,Banashankari","Bangalore,530244",
Drishti Din,4/8/2016,Female,0495 3110 5720  ,Laxmi Gaba,"11/2,Old Market","V V Puram,Basavanagudi","Bangalore,530245",,
Anantha Dugal,7/5/1977,Male,7819 1578 9154,Neha Bal,"1779,14th Main","Kumaraswamy Layout,Bangalore",530246,,
Kiran Malhotra,4/2/1977,Male,2535 4456 9447,Gopalkrishna Sehgal,"224/Y,100 Feet Ring Road","7th Block,3rd Stage","Banashankari,Bangalore",530247,
Niraj Shah,30/09/2018,Male,9699 743 3633,Jitinder Gera,"2,Old 36","8th F Main,3rd Block","Jayanagar,Bangalore",530248,
Anand Samra,12/4/1975,Female,6333 9773 3177,Kumara Keer,"766/25-01,47th A Cross","Near Sangam Circle,Adarsh Gardens Apartments Road","8th Block,Jayanagar","Bangalore,530249",
Anantee Chander,15/12/2003,Female,1706 9837 5455,Kishor Majumdar,"1766,14th Main","1st Stage,Kumaraswamy Layout","Bangalore,530250",,
Gopalkrishna Bawa,8/4/2016,Male,8772 914 3582,Lalita Mehra,"Opposite BNM School,Near BDA complex","Banashankari,Bangalore",530251,,
Kalyan Mital,20/11/1981,Male,200 4122 2775,Nataraj Wagle,"728/1,14th Main Road","1st Stage,Kumaraswamy Layout","Bangalore,530252",,
Jaswinder Korpal,7/3/2018,Female,4159 2290 4640  ,Brijesha Ramesh,"416,24th Cross","9th Main,2nd Stage","Banashankari,Bangalore",530253,
Mayur Doshi,22/11/2014,Male,414 1050 8200,Nagendra Gaba,"4009,80 Feet Road","4th Phase,Banashankari","Bangalore,530254",,
Jayant Nadig,14/10/2014,Female,2695 1325 4699  ,Devraj Ranganathan,"12,Old 387","Market Road,V.V.Puram","Basavanagudi,Bangalore",530255,
Aravind Swamy,25/10/2013,Female,5407 7366 9737  ,Chandi Bose,"6th C Main,4th Block","Jayanagar,Bangalore",530256,,
Ishwari Borah,21/08/2001,Male,9841 873 342,Anupam Kumar,"1771,14th Main Road","1stage,Kumaraswamy Layout","Bangalore,530257",,
Harsha Chada,11/6/1994,Male,8641 407 1061,Mala Bawa,"1424,14th Main Road","1st Stage,Kumaraswamy Layout","Bangalore,530258",,
Gotam Barad,9/1/2009,Female,865 397 5839,Gauri Sagar,"7/1,Behind BMS College Hostel","Hanumantha Nagar,Banashankari","Bangalore,530259",,
Kavi Kaul,25/05/2015,Male,8329 890 6463,Anand Singh,"19,V.V.puram National School Road","Basavanagudi,Bangalore",530260,,
Jitender Atwal,24/07/1982,Female,7475 3926 4439  ,Lakshmana Mani,"12,29 Near PES University Back Gate","D'Souza Nagar,Hosakerehalli","3rd Stage,Banashankari","Bangalore,530261",
Dipika Babu,23/11/2019,Female,1407 2378 8034,Karliaye Bhattacharyya,"1st Floor,GR Plaza","DVG Road,Near Gandhi Bazaar circle","Basavanagudi,Bangalore",530262,
Ashok Padmanabhan,12/3/1973,Male,6225 1859 3371  ,Bhaskar Parmar,"1763,Near Swathi Nursing Home","14th Main Road,1st Stage","Kumaraswamy Layout,Bangalore",530263,
Narayan Sheth,24/03/2002,Male,7791 6586 3010,Aditya Iyengar,"31/1,Puttalingaiah Road","Second Stage,Bangalore","Banashankari,Bangalore",530264,
Mayur Gulati,12/7/1990,Female,9706 6089 5363,Akhil Viswanathan,"80 Feet Road,Hosakerehalli Cross","B S K 3rd Stage,Banashankari","Bangalore,530265",,
Draupadi Sehgal,22/04/2016,Female,7831 6132 8100,Anuja Goyal,"17,Ground Floor","Near Big Bazar,100 Feet Ring Road","3rd Stage,Banashankari","Bangalore,530266",
Gopi Sule,25/07/1998,Male,1984 1800 5179,Bharat Lal,"146,50 ft Road","3rd Phase,3rd Stage","Near Katriguppe Water Tank Circle,Banashankari","Bangalore,530267",
Karuna Dewan,20/01/2011,Male,1708 2454 2950,Mahendra Yadav,"2469,21st Cross","Near BDA Complex,2nd Stage","Banashankari,Bangalore",530268,
Dilip Chaudhari,14/10/2002,Male,4625 9102 2255  ,Darshan Gera,"197/F,8th B Main","27th Cross,3rd Block","Jayanagar,Bangalore",530269,
Naouman Sibal,17/09/1994,Female,5139 5841 844,Kunal Golla,"26/3,Bugle Rock Road","Gandhi Bazaar,Basavanagudi","Bangalore,530270",,
Madhukar Master,29/06/1982,Female,5843 3868 2217,Nitika Chaudhry,"97,Opposite Jain College","Kavi Lakshmisha Road,VV Puram","Basavanagudi,Bangalore",530271,
Nila Rajagopalan,13/04/2003,Male,5728 5355 8771,Ananda Balay,"1/4,Nisha Complex","KR Road,Near National College","Basavanagudi,Bangalore",530272,
Darshan Gera,7/3/2011,Female,4756 8307 7470  ,Manjula Pandey,"9/63,1st C Main Road","Kathreguppe,Vivekananda Nagar","Banashankri,Bangalore",530273,
Anupama Malhotra,1/11/1997,Male,4817 8695 4237,Arun Kata,"1,Kathriguppe Main Road","3rd Stage,Banashankari","Bangalore,530274",,
Kailash Srivastava,15/04/2009,Female,7300 6464 9487,Nikhila Tak,"Cosmopolitan Club,22nd Cross","3rd Block,Jayanagar","Bangalore,530275",,
Karishma Bahl,28/07/1974,Male,6668 7309 2775,Aditya Parsa,"615/1,10th C Main","32nd Cross Road,Janardhan Mansion","4th Block,Jayanagar","Bangalore,530276",
Bhavani Mane,28/07/2004,Male,8718 7584 8374,Mukta Date,"1112,Next KIMS Medical College","17th Cross,2nd Stage","Banashankari,Bangalore",530277,
Dharma Ganguly,12/12/1983,Female,8007 9995 8809,Ajith Sethi,"1/2,Opposite Indian Oil Petrol Bunk","1st Cross,Kaderanhalli Crossroad","Subramanyapura Main Road,Padmanabhanagar","Uttarahalli,Bangalore",53027
Kevala Rege,8/5/2016,Male,2259 2924 4290  ,Indu Nagy,"Pavanashree Nilayam,7 Block","Banagirinagara,Banashankari","Bangalore,530279",,
Indrajit Mohanty,25/03/2001,Female,9466 1428 404,Harshal Kaur,"2470,21 Main Road","25th Cross,Banashankari","Bangalore,530280",,
Jyotsana Rout,17/02/2020,Female,2559 9479 0161  ,Mohinder Subramanian,"1328,50 Feet Main Road","1st Stage,Kumaraswamy Layout","Bangalore,530281",,
Anima Dasgupta,28/04/1992,Female,4877 7397 0264  ,Abhilasha Prashad,"31,2nd Cross","Teacher's Colony,JP Nagar Post","Dayanand College Road,Kumaraswamy Layout","Bangalore,530282",
Damayanti Kota,22/02/1991,Female,4515 8600 196,Jaywant Savant,"52,Dayanand Sagar College Road","Teachers Colony,Near ICICI Bank ATM","Bangalore East,Bangalore Urban Karnataka","Kumaraswamy Layout,Bangalore.",53028
Djayssen Dasgupta,26/12/1980,Male,7558 3396 7835,Devdan Kata,"84,Basavanagudi","Bangalore,530284",,,
Lila Lall,7/3/1997,Male,4309 1006 1022,Kanti Maharaj,"359/38,Next to Fabindia","7th Cross,1st Block","Jayanagar,Bangalore",530285,
Arya Brahmbhatt,27/07/1987,Female,8183 6611 2333,Kasi Goyal,"Shop 197,Ground Floor","Gokul Niwas,North Main Road","Rajyotsavanagar,2nd Stage","Kumaraswamy Layout,Bangalore",53028
Gopinath Hora,17/07/2003,Male,1528 7143 8147,Damayanti Batra,"415,9th Main","24th Cross,2nd Stage","Banashankari,Bangalore",530287,
Nila Hans,2/1/1970,Male,1671 5259 2088,Chandan Narasimhan,"433/30/1,28th Cross","10th Main,Opposite BDA Complex","4th Block,Jayanagar","Bangalore,530288",
Nikhila Nagi,19/11/2004,Male,5392 1349 3219,Gita Modi,"382/71/4,11th Main","3rd Block,Jayanagar","Bangalore,530289",,
Inderjit Kari,22/01/1994,Male,5854 0889 7859  ,Kirtida Andra,"54,Sri Durga Avenue","3rd Floor,33rd Cross Road","Opp. Navarathan,Jewe","Jayanagar,Bangalore",53029
Darshan Devan,17/06/1970,Male,333 3057 1747,Devraj Biswas,"2nd Floor,Garla Garnet","9th Main,4th Block","Jayanagar,Bangalore",530291,
Kunti Pathak,25/03/1998,Male,6871 4972 2321,Madhavi Narayanan,"126,Near Ganesha Temple","7th Main,4th Block","Jayanagar,Bangalore",530292,
Hamsa Zacharia,19/10/2012,Male,12 8767 1491,Madhavi Cheema,"6,Shakambari Nagar","1st stage,JP Nagar","Bangalore,530293",,
Madhur Dass,4/1/1996,Male,1572 4388 386,Keshava Mehan,"81,36th Cross Road","5th Block,Jayanagar","Bangalore,530294",,
Minatchy Setty,2/7/1970,Male,5186 3381 2552,Abha Master,"616/2,31st Cross","10th A Main Road,4th block","Jayanagar,Bangalore",530295,
Chandan Dugar,3/4/2004,Female,6287 5399 4901,Kama Purohit,"66/1,Kanakpura Road","Basavanagudi,Bangalore",530296,,
Akanksha Natarajan,13/11/2004,Female,636 4835 7652,Kumar Sankar,"173,DSI college Road","Kumaraswamy Layout,Bangalore",530297,,
Hamsa Oommen,13/10/1999,Female,1055 9102 5309  ,Keshava Malhotra,"112,Bull Temple Road","next to more Basavanagudi,Bangalore",530298,,
Lakshman Choudhary,28/07/1978,Male,2478 1198 6101,Carliaye Mangat,"1,Corporation Market","Gandhi Bazar,Basavanagudi","Bangalore,530299",,
Kishore Khurana,30/03/1992,Male,3518 9050 1537,Adita Mehrotra,"58,Surveyor Street","Basavanagudi,Bangalore",530300,,
Nil Tata,15/07/2020,Female,2843 1436 0824  ,Isha Sen,"1,24th Main Rd","1st Phase,Girinagar","KR Layout,Muneshwara T-Block","JP Nagar,Bangalore",53030
Govinda Sinha,19/09/1999,Female,1030 1399 722,Kunala Kohli,"Satellite Bus Stand,KSRTC","Mysore Road,Bangalore",530302,,
Minali Ranganathan,20/02/1982,Female,9349 5425 9370  ,Laxmi Shah,"5,Mallariah Complex","Near Corporation Bank,Gandhi Nagar","Basavanagudi,Bangalore",530303,
Kasi Ramanathan,22/12/1991,Female,6760 668 6928,Gotama Gour,"144/1,2nd Main Road","2nd Block,Thyagaraja Nagar","Basavanagudi,Bangalore",530304,
Inderpal Chauhan,14/08/1980,Female,6170 8875 869,Mukul Din,"60/1,East Anjaneya Temple Road","Basavanagudi,Bangalore",530305,,
Mohandas Rai,10/8/1999,Male,8841 4859 9031,Jayendra Prakash,"3/1,Opposite Krishna Rao Park","Kanakapura Road,Basavanagudi","Bangalore,530306",,
Anima Kunda,4/12/2008,Male,8281 4374 4534,Anish Cherian,"19/1,New Timberyard Layout","Beside Satellite Bus Stop,Mysore Road","Bangalore,530307",,
Lallida Choudhury,11/1/1990,Male,1496 4355 2356  ,Chitra Sekhon,"335,KR Road","Shastri Nagar,Yediyur","Jayanagar,Bangalore",530308,
Arjuna Thakkar,22/02/1988,Male,348 785 8542,Amit Borah,"1/A,3rd Main","7th Cross,Kattebalag","Narasimharaja Colony,Basavanagudi","Bangalore,530309",
Djayssen Prabhakar,15/09/2002,Male,6126 0366 7027  ,Jayani Mehrotra,"39/4,North Anjaneya Temple Street","Basavanagudi,Bangalore",530310,,
Mohinder Suresh,4/2/2005,Male,5078 1030 2421,Dipaka Basak,"Chikkalasandra,Near Ashwathkatte Ganesha Temple","Opposite Dominic School,Uttarahalli","Bangalore,530311",,
Harendra Goyal,22/10/1993,Male,2212 5593 6801,Ganesh Prabhakar,"164/B,24th Cross","6th Block Yediyur,Jayanagar","Bangalore,530312",,
Akanksha Kapoor,12/6/1980,Male,5248 1255 3168  ,Chitra Shroff,"9,Canara Bank Colony","Opposite Chikkalsandra Post Office,Main Road","Uttarahalli,Bangalore",530313,
Gopala Manda,17/11/1986,Male,8618 910 4488,Divya Shroff,"1108/1,9th Main Road","4th Cross,Hampinagar","Vijay Nagar,Bangalore","Bengaluru,530314",
Lalita Merchant,14/08/2021,Female,2492 7169 5851,Kasi Dutta,"Sri Balaji Complex,339/3","Kuvempu Nagar,Next to Bus Stand","Mysore Road,Bangalore",530315,
Inderjit Mann,15/01/2021,Male,5448 8172 271,Deepti Bir,"609,10th A Main Road","4th Block,Jayanagar","Bangalore,530316",,
Nandini Sampath,3/6/1975,Female,5805 6010 2842  ,Ganapati Barman,"121,DVG Road","R.M Complex,Basavanagudi","Bangalore,530317",,
Narayana Taneja,19/02/2019,Male,6782 2899 9453  ,Chandana Sibal,"119,5th Cross","Teachers Colony,Kumaraswamy Layout","Bangalore,530318",,
Darshan Barman,19/06/1993,Male,8430 5387 2306,Ankita Kari,"186,16th Main","24th Cross,2nd Stage","Banashankari,Bangalore",530319,
Gautama Bajwa,16/11/1972,Female,5992 3472 9029,Ankita Chakraborty,"139,Behind Police Station","72nd Cross,Kumaraswamy Layout","Bangalore,530320",,
Harendra Cheema,25/11/1983,Male,6809 5511 1010,Kishor Gopal,"22nd Cross,New Diagonal Road","Opposite N MKRV Womens College,3rd Block","Jayanagar,Bangalore",530321,
Nirmal Kumer,14/08/1991,Male,7985 5061 9139  ,Anil Bhargava,"28th Main,8th Block","Jayanagar,Bangalore",530322,,
Govinden Karan,26/09/2012,Male,472 9843 8203,Mahesh Khanna,"153,Satellite Bus Stand","Byataranyapura,Mysore Road","Bangalore,530323",,
Mukesh Mand,9/5/1982,Male,2191 2841 9816,Bala Keer,"Next To BMTC Bus Stand,Banashankari","Bangalore,530324",,,
Ilanila Nadig,4/8/1980,Female,2270 9173 7914,Chetan Setty,"37,5-1","4th Floor,Bosco Court","Gandhi Bazaar Main Road,Basavanagudi","Bangalore,530325",
Kariyamna Oak,29/07/1987,Female,6478 3836 4592,Mala Kulkarni,"376,1st Floor","Tripura Arcade,MK Puttalingaiah Road","Above SBI Bank,Banashankari","Bangalore,530326",
Kaur Sodhi,7/10/1994,Female,2400 9898 4384,Bharata Dhingra,"632/A,24th Cross","2nd Stage,Banashankari","Bangalore,530327",,
Deo Patil,20/05/1989,Male,6475 3078 9613,Mukesh Brar,"13,27th B Cross","10th Main,Opposite BWSSB Water Tank","Geetha Colony,4th Block","Jayanagar,Bangalore",53032
Kavi Mangal,27/03/1986,Female,2934 4632 1001  ,Keshavan Agrawal,"1779,14th Main","Kumaraswamy Layout,Bangalore",530329,,
Damayandi Peri,19/01/1980,Female,9148 452 3667,Jagannath Sandhu,"126,Opposite Police Station","7th Main,4th Block","Jayanagar,Bangalore",530330,
Nagendra Saha,6/7/1987,Female,3830 4217 9572,Nithya Bhatia,"2/1,7th Main","Dwarakangar Hosakerehalli,Banashankari","Bangalore,530331",,
Kama Sha,5/3/2018,Male,2427 5000 5663,Nirav Yadav,"9/2,South End Main Road","Next to Surana College,Basavanagudi","Bangalore,530332",,
Bharat Menon,4/2/2005,Female,7505 204 550,Arjun Ganesh,"11/4,Old Market Road","V V Puram,Basavanagudi","Bangalore,530333",,
Indrani Solanki,12/8/2008,Male,511 9423 9106,Devika Gade,"433/30/1,10th Main","28th A cross,4th Block","Jayanagar,Bangalore",530334,
Kishori Samra,17/01/1989,Female,9376 9261 8312,Adesh Narain,"14/38,Shivakrupa","1st Model House Street,Near Nagasnadra Circle","DVG Road,Basavanagudi","Bangalore,530335",
Gopinatha Jaggi,24/08/1992,Male,6976 6512 3852,Jayanta Shankar,"224/Y,4th Phase","7th Block,100 Feet Ring Road","Near Kamakya Theatre,Banashankari","Bangalore,530336",
Lata Ramachandran,20/10/1981,Female,1692 5339 5240  ,Ajeet Gera,"147,27th Cross","3rd Main,6th Block","Yediyur,Jayanagar","Bangalore,530337",
Kausalya Ravi,2/1/1996,Male,6924 7691 1919,Govind Krishna,"202F,27th Cross Road","Opposite Sapna Book House,Jayanagar","Bangalore,530338",,
Mounoussamy Mohanty,3/5/2019,Male,4946 3612 1270,Nirupama Saxena,"2,Ashoka Pillar Circle","2nd Block,Jayanagar","Bangalore,530339",,
Ashoka Iyengar,4/1/1971,Male,2745 4407 9905,Ashoka Rai,"1349,4th Cross Road","Kilkodungalur,RPC Layout","Vijay Nagar,Bangalore",530340,
Chiranjeevi Sunder,17/08/1980,Male,4018 567 7358,Manu Sinha,"2466,24th Cross Road","Siddanna Layout,Stage II","Banashankari,Bangalore",530341,
Darshan Naidu,2/4/1980,Female,57 1366 2935,Kalidasa Chauhan,"412,1st Cross","Vidyapeeta Road,3rd Stage","Banashankari,Bangalore",530342,
Dourgavati Dixit,13/05/2016,Male,2856 7684 3170,Jarita Mukhopadhyay,"43/2,100 Feet Road","Kamakya Complex,3rd Stage","Banashankari,Bangalore",530343,
Ananta Prabhu,13/10/1971,Female,6728 6311 4872,Karliaye Chatterjee,"14/1,8th Fmain","3rd Block,Jayanagar","Bangalore,530344",,
LaÃƒÂ¯li Raghavan,1/11/2005,Male,7272 3720 5883,Jiva Doctor,"Near dayananda sagar college kumarswamy layout,530345",,,,
Kapila Mand,15/07/2017,Female,7689 8590 6637,Nikhila Banerjee,"The President Hotel,79/8","Diagonal Road,3rd Block","Jayanagar,Bangalore",530346,
Mahavira Bajaj,30/07/1973,Male,8979 9567 2344  ,Deo Korpal,"2303,21st Cross","K R Road,2nd Stage","Banashankari,Bangalore",530347,
Kanchana Sibal,17/05/2020,Male,8969 1693 1919,Amita Banik,"#72,3rd Cross DSI Road","Teachers Colony,Kumaraswamy Layout","Bangalore,530348",,
Jyotsna Balay,8/2/1973,Male,1114 9048 1009,Mukta Sagar,"8/10,Subramanyapura Main Road","Near Royal Mart,Uttarahalli","Bangalore,530349",,
Gautam Varghese,10/3/2013,Female,6881 9754 4366  ,Lallida Bandi,"287,1st Floor","7th Block,100 Feet Ring Road","Phase 4,Banashankari","Bangalore,530350",
Brijesha Bhakta,11/9/1990,Female,2154 3446 5435  ,Carpanin Nayak,"23/1,Shop Street Road","Basavanagudi,Bangalore",530351,,
Lutchmayah Ratta,25/10/1972,Female,9198 3630 902,Harisha Kothari,"1st Main Road,Near Katte Balaga","NR Colony,Basavanagudi","Bangalore,530352",,
Gitika Lata,19/02/2010,Male,5162 5186 9725  ,Jagjit Khare,"63,18th Cross","3rd Block,Jayanagar","Bangalore,530353",,
Indrajit Garg,4/4/2006,Female,5193 9845 3122,Duleep Vaidya,"24,Subramaniapura Main Road","Uttarahalli,Bangalore",530354,,
Mitul Luthra,21/08/2020,Male,7137 4927 3245  ,Adita Handa,"Next To Surana College,South End Circle","Basavanagudi,Bangalore",530355,,
Jagjit Gour,5/1/1992,Male,3056 1183 4678  ,Lallida Chakraborty,"318,Old market Road V.V.Puram","Basavanagudi,Bangalore",530356,,
Murali Sunder,8/7/2004,Female,0125 4210 4376  ,Neela Kant,"Near Metro Station R.v.Road,Basavanagudi","Bangalore,530357",,,
Madhurya Bhasin,30/08/2017,Female,1326 164 7211,Gayatri Krishnamurthy,"234,32 A Cross","2nd Main Road,7th Block","Jayanagar,Bangalore",530358,
Bhavana Tank,15/08/2010,Male,2254 769 7525,Nirav Naik,"63/2,8th Main","18th Cross,3rd Block","Jayanagar,Bangalore",530359,
Minali Halder,4/1/2017,Male,1525 5594 5100  ,Anupam Bhatnagar,"1,5th Main Road","Bull Temple Road,Basavanagudi","Bangalore,530360",,
Mohandas Koshy,20/09/2009,Male,9785 4129 673,Kiran Oza,"3353,2nd Cross","Opposite Auden School,Hoskerehalli Cross","3rd Stage,Banashankari","Bangalore,530361",
Narayana Goda,18/02/2009,Male,1596 3201 2296,Kaur Radhakrishnan,"81,East Anjaneya Street","NR Colony,Near Basavanagudi","Basavanagudi,Bangalore",530362,
Kailash Kurian,28/09/1983,Female,3301 5258 4847,Gobind Rama,"36/1,27th Cross","4th Block,Jayanagar","Bangalore,530363",,
Jayani Wable,18/06/1990,Female,3976 1262 1688,Chandi Chanda,"13,32nd Cross","7th Block,Jayanagar","Bangalore,530364",,
Aditi Rajan,30/09/2009,Male,7078 6053 6469  ,Buddha Chand,"6th Block,3rd Stage","Banashankari,Bangalore",530365,,
Kanchana Patla,19/06/1995,Male,2065 1200 2376,Kamala Bhatnagar,"137/4,8th Main Road","27th Cross,Jayanagar","Bangalore,530366",,
Archana Dhillon,2/12/2009,Male,5770 3361 788,Karna Sridhar,"2nd Floor,80 Feet Road","Near Big Bazaar,6th Block","Kathriguppe,3rd Stage","Banashankari,Bangalore",53036
Keshavan Vala,13/04/2003,Male,5904 8895 7368  ,Mukesha Wagle,"27,Gandhi Bazaar Main Rd","Basavanagudi,Bangalore",530368,,
Mohana Bobal,25/05/1974,Male,4529 2191 8190,Hamsa Wable,"Shubashree Complex,50 Feet Road","1st Stage,Hanumanthanagar","Near Girinagar,Banashankari","Bangalore,530369",
Ladha Krishnan,28/11/2007,Male,5710 1315 2609,Nirmal Butala,"78,Nagendra Block","Giri Nagar,II Phase","Banashankari,Bangalore",530370,
Laxman Barad,10/5/1978,Male,711 4652 8477,Neelam Kata,"1890,Shetty Gardenia","9th Main,Kaverinagar","2nd Stage,Banashankari","Bangalore,530371",
Madhukar Jaggi,14/11/1992,Female,1516 4314 6801,Devmani Dar,"1328,50 Feet Road","Stage 1,Kumaraswamy Layout","Bangalore,530372",,
Ajit Roy,8/3/1971,Female,4134 510 2432,Ninad Dhaliwal,"23,Kanakapura Road","Near SRS Petrol Pump,Lalbagh West Gate","Basavanagudi,Bangalore",530373,
Kirtida Sandal,20/08/2015,Female,5031 3031 689,Arya Zacharia,"52,Dayanad Sagar","College Road,Teachers Colony","Kumaraswamy Layout,Bangalore",530374,
Nagendra Handa,29/01/2019,Female,1062 1482 4347,Lutchmayah Saxena,"1,30th Main Road","3rd Stage,Banashankari","Bangalore,530375",,
Harshad Kurian,11/12/2018,Male,9481 595 2911,Minakshi Badami,"534,49th Cross","50 Feet Road,Kumaraswamy Layout","Bangalore,530376",,
Ananta-Sesa Johal,9/2/2000,Female,5384 2305 2735  ,Ananth Meka,"23,7th Main","KSRTC Layout,Chikkalsandra","Main Road,Uttarahalli","Bangalore,530377",
Darshan Kapadia,28/06/1985,Female,7559 9014 7671,Kumar Bhakta,"241,4th Floor","100 Feet Ring Road,Opposite Kamakya Theatre","Banashankari,Bangalore",530378,
Jagannatha Dayal,7/3/1984,Male,1407 5789 0728  ,Gayatri Mitra,"1112,30th Main","Teachers Layout,Next to SBI Bank","3rd Stage,Banashankari","Bangalore,530379",
Kalidas Krishna,15/11/2011,Female,1182 1592 9829,Aradhana Dave,"2nd Cross,JHBCS Layout","Kumaraswamy Layout,Bangalore",530380,,
Neela Bala,25/10/1980,Female,8117 5760 1009,Lajili Handa,"186,24th Cross","2nd Stage,Banashankari","Bangalore,530381",,
Nirav Barad,4/2/1997,Male,4498 2276 5825,Kalyana-ShraddhÃƒÂ¢ Ramaswamy,"8th Main Road,Remco Bhel Layout","Ideal Homes Township,Rajarajeshwari Nagar","Bengaluru,530382",,
Aravind Chhabra,2/6/2010,Male,8728 322 1297,Jyotsana Bhalla,"Pai Viceroy,1504","16th Cross,9th Main","3rd Block,Jayanagar","Bangalore,530383",
Narendra Dugal,16/03/2004,Female,1183 7597 9828  ,Kunti Bose,"2465,2nd Floor","Opposite BDA Complex,24th Cross","2nd Stage,Banashankari","Bangalore,530384",
Ananden Patla,16/09/2012,Female,3196 6178 9276,Madhav Agarwal,"30,8th F Main Road","Jayanagar,Bangalore",530385,,
Akanksha Edwin,15/09/1979,Male,5051 4235 7445,Anandi Ram,"2,Subramanyapura","Kadirenahalli Overbridge Junction,2nd Stage","Banashankari,Bangalore",530386,
Archana Badami,10/7/1978,Male,5067 5970 3173  ,Nitin Chaudhari,"278,37th A Cross","2nd Main,8th Block","Jayanagar,Bangalore",530387,
Abha Misra,11/5/1986,Female,6940 7749 8820,Madhava Nath,"17,Bull Temple","Road,Basavanagudi","Bangalore,530388",,
Jyotsna Kalita,20/08/2002,Male,4385 3436 3889  ,Mukta Sha,"1328,50 Feet Road","Kumaraswamy Layout,Bangalore",530389,,
Duleep Murty,16/02/1972,Female,8930 3239 6578,Devdas Atwal,"599,24th Cross","2nd Stage,Banashankari","Bangalore,530390",,
Nitya Singhal,24/03/1977,Male,689 2821 1586,Arundhati Karnik,"671,45th Cross","8th Block,Near Metro Pillar EP 22","Jayanagar,Bangalore",530391,
Meera Sethi,15/01/1979,Male,146 1036 5067,Aditya Rout,"644,1 B","Main Road,Kanakapura Road","8th Block,Jayanagar","Bangalore,530392",
Harishankar Tripathi,28/06/1974,Female,8404 701 8995,Damayanti Cherian,"23/35,7th Cross","Dwarakanagar,Hosakerhalli","Banashankari,Bangalore",530393,
Devdas Nair,30/06/2007,Male,8556 9082 0047  ,Govinden Varma,"30,7th Cross","Dwaraka Nagar,Banashankari","Bangalore,530394",,
Gopika Deol,20/07/1989,Female,4947 3504 8701  ,Archana Narayan,"940,20th Main","Opposite South Entrance,BDA Complex","Banashankari,Bangalore",530395,
Amrita Warrior,27/10/1986,Female,1550 2067 1428  ,Dalini Chhabra,"Sri Chakravarthi Complex,Sajjan Rao Circle","V.V. Puram,Basavanagudi","Bangalore,530396",,
Narayan Garg,26/11/2007,Female,4884 7578 9034,Kishen Pradhan,"45,6th C Main Road","4th Block,Jayanagar","Bangalore,530397",,
Nitika Sinha,1/5/2015,Male,8807 4013 9089,Kumar Nayak,"269,JHBCS Layout","2nd Main Road,Teacher's Colony","Kumaraswamy Layout,Bangalore",530398,
Lallida Rajagopal,18/11/1979,Male,7432 109 7046,Anjali Peri,"344,50 Feet Road","Dasarhalli,Srinagar","Banashankari,Bangalore",530399,
Gopal Swamy,4/7/2002,Female,806 7569 8598,Keya Dhingra,"278,34th Cross Road","4th Block,Jayanagar","Bangalore,530400",,
Krishnin Dara,16/08/1999,Male,1071 6554 4497,Bhaskara Deo,"1616,50 Feet Main Road","1st Stage,Kumaraswamy Layout","Bangalore,530401",,
Godavari Sandal,15/05/2017,Female,375 6461 9073,Nirupama Mital,"22,2nd Main Road","National College Road,7th Block","Jayanagar,Bangalore",530402,
Dipika Verma,26/12/1992,Female,5068 2570 5929,Nala Chakrabarti,"146,6th C Main Road","1st Block,Jayanagar","Bangalore,530403",,
Ananda Sagar,5/9/1994,Male,2254 1121 6395,Jarita Soni,"405,24th Cross","9th Main,2nd Stage","Banashankari,Bangalore",530404,
Mukesha Pillay,23/01/2011,Male,9838 8562 5950,Damayandi Bala,"54,Rashtriya Vidyalaya Road","2nd Block,Basavanagudi","Bangalore,530405",,
